name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,sugar_1,Sugar_2,Blood_1,Blood_2
AAEL006834-RA-E2,277.5,530,25,21.102,4.4,7,6.87100193232797e-74,0,0,0,528,532,29,21
AAEL008876-RA-E5,130.2,2.5,258,0.011,-6.5,5.9,2.54520158780462e-72,0,0,0,1,4,246,270
AAEL006381-RA-E3,576.2,70,1082.5,0.065,-3.9,8,9.26827486274337e-72,0,0,0,69,71,1190,975
AAEL022665-RA-E2,195,385,5,74.747,6.2,6.5,1.57016585664842e-71,0,0,0,432,338,6,4
AAEL000500-RA-E3,348.5,20,677,0.03,-5.1,7.3,2.20415328896452e-71,0,0,0,24,16,582,772
AAEL006834-RA-E3,188.2,365.5,11,31.944,5,6.5,1.22890363835769e-70,0,0,0,369,362,9,13
AAEL027166-RA-E7,191,15,367,0.041,-4.6,6.4,8.19338564756734e-69,0,0,0,15,15,351,383
AAEL002269-RA-E3,440.5,73.5,807.5,0.091,-3.5,7.6,8.268560595473e-68,0,0,0,72,75,789,826
AAEL010640-RA-E7,513,80.5,945.5,0.086,-3.5,7.9,9.61820413856854e-68,0,0,0,89,72,916,975
AAEL006483-RB-E2,263,498.5,27.5,18.146,4.2,6.9,2.55695773377326e-66,0,0,0,518,479,32,23
AAEL001100-RB-E4,181.2,10.5,352,0.03,-5.1,6.3,1.57022647850458e-65,0,0,0,12,9,316,388
AAEL006381-RA-E4,274.8,16,533.5,0.03,-5.1,6.9,3.83559176065274e-64,0,0,0,23,9,472,595
AAEL004335-RA-E2,257.2,18,496.5,0.037,-4.8,6.9,4.19117199273794e-64,0,0,0,26,10,529,464
AAEL013611-RA-E2,220,21.5,418.5,0.052,-4.3,6.6,9.11086487570522e-63,0,0,0,18,25,389,448
AAEL019708-RA-E7,322.8,23,622.5,0.037,-4.7,7.2,1.28122695044886e-62,0,0,0,24,22,519,726
AAEL008769-RA-E1,237.5,29.5,445.5,0.066,-3.9,6.7,1.8897579558838e-62,0,0,0,25,34,452,439
AAEL000859-RA-E2,336.5,34.5,638.5,0.054,-4.2,7.2,6.66902978325781e-61,0,0,0,41,28,710,567
AAEL010435-RB-E1,91.5,0.5,182.5,0.005,-7.7,5.4,1.1524013191905e-60,0,0,0,0,1,198,167
AAEL006425-RA-E1,235.5,450,21,20.924,4.4,6.8,1.79530512616185e-60,0,0,0,402,498,22,20
AAEL005384-RA-E5,385.5,75,696,0.108,-3.2,7.4,6.78123154426022e-60,0,0,0,76,74,684,708
AAEL007555-RA-E1,699,143,1255,0.114,-3.1,8.3,3.14876228445602e-59,0,0,0,146,140,1165,1345
AAEL027166-RA-E6,467.5,75,860,0.087,-3.5,7.7,7.09167246379928e-59,0,0,0,88,62,871,849
AAEL022646-RA-E1,92.8,184.5,1,150.844,7.2,5.5,2.08549943464833e-58,0,0,0,192,177,1,1
AAEL000859-RA-E3,264.5,26.5,502.5,0.053,-4.2,6.9,3.88541080401462e-58,0,0,0,26,27,571,434
AAEL028144-RA-E3,251.2,33.5,469,0.072,-3.8,6.8,1.57262989910013e-57,0,0,0,40,27,452,486
AAEL012578-RA-E2,295.5,53.5,537.5,0.1,-3.3,7.1,1.65658597068892e-57,0,0,0,54,53,549,526
AAEL006483-RB-E3,218.2,409,27.5,14.712,3.9,6.7,2.63370969326351e-57,0,0,0,432,386,26,29
AAEL003012-RA-E1,116.2,228,4.5,52.217,5.7,5.8,2.91827782461248e-57,0,0,0,243,213,7,2
AAEL001100-RB-E2,267.2,21,513.5,0.041,-4.6,6.9,7.10931503103805e-57,0,0,0,23,19,601,426
AAEL026304-RA-E2,731.5,1339,124,10.813,3.4,8.4,1.57812271333811e-56,0,0,0,1434,1244,142,106
AAEL005336-RA-E5,224,33,415,0.081,-3.6,6.7,5.84833608015947e-56,0,0,0,28,38,417,413
AAEL014426-RA-E3,244.8,38.5,451,0.086,-3.5,6.8,1.38936451085979e-55,0,0,0,43,34,437,465
AAEL009487-RA-E1,313,568,58,9.771,3.3,7.2,2.2345527022578e-55,0,0,0,576,560,62,54
AAEL001951-RB-E2,181.2,346,16.5,20.627,4.4,6.4,1.68818892749158e-54,0,0,0,323,369,22,11
AAEL005961-RA-E3,1711.2,2915,507.5,5.746,2.5,9.6,6.68183588646015e-53,0,0,0,2831,2999,492,523
AAEL013637-RA-E4,206,25,387,0.065,-3.9,6.5,6.72991667982932e-53,0,0,0,29,21,350,424
AAEL025608-RA-E2,105.5,205,6,31.954,5,5.6,1.65701581145811e-52,0,0,0,200,210,7,5
AAEL006542-RA-E1,174,24,324,0.074,-3.8,6.3,1.66461501254583e-52,0,0,0,27,21,312,336
AAEL001703-RA-E2,6706.8,12157.5,1256,9.68,3.3,11.6,7.76056099165008e-52,0,0,0,12879,11436,1060,1452
AAEL000294-RA-E3,146.5,282,11,25.011,4.6,6.1,2.42082236534969e-51,0,0,0,255,309,16,6
AAEL000500-RA-E1,182.5,17.5,347.5,0.051,-4.3,6.4,3.28381845566809e-51,0,0,0,22,13,304,391
AAEL014426-RA-E4,199.5,26,373,0.071,-3.8,6.5,7.42518626602875e-51,0,0,0,18,34,383,363
AAEL011905-RB-E6,604.5,1049.5,159.5,6.573,2.7,8.1,1.15504411042887e-50,0,0,0,1060,1039,167,152
AAEL002510-RB-E4,725,187.5,1262.5,0.149,-2.7,8.4,1.68296777837552e-50,0,0,0,201,174,1221,1304
AAEL000294-RA-E5,162.8,306.5,19,16.12,4,6.2,1.81892427811338e-50,0,0,0,326,287,15,23
AAEL001100-RC-E1,95.2,6,184.5,0.035,-4.8,5.4,3.50219325085745e-50,0,0,0,5,7,193,176
AAEL006483-RB-E1,189.8,364,15.5,23.244,4.5,6.5,4.12489687586011e-49,0,0,0,421,307,20,11
AAEL012825-RA-E4,331.5,66.5,596.5,0.112,-3.2,7.2,5.37158493304062e-49,0,0,0,77,56,590,603
AAEL003742-RA-E2,254.8,39.5,470,0.083,-3.6,6.8,9.30389369638741e-49,0,0,0,46,33,516,424
AAEL003318-RA-E6,104,8.5,199.5,0.044,-4.5,5.5,9.38602523471731e-49,0,0,0,5,12,209,190
AAEL013637-RA-E3,167.5,23,312,0.075,-3.7,6.2,2.21967386057473e-48,0,0,0,18,28,331,293
AAEL009330-RA-E2,242.2,448,36.5,12.264,3.6,6.8,3.06200378769882e-48,0,0,0,456,440,47,26
AAEL012578-RA-E1,475.8,99.5,852,0.117,-3.1,7.7,6.19891591836158e-48,0,0,0,93,106,938,766
AAEL001082-RA-E3,312.5,557.5,67.5,8.209,3,7.2,6.73574964915227e-48,0,0,0,589,526,66,69
AAEL010434-RA-E1,59.8,0,119.5,0.001,-9.9,4.7,8.55404080057278e-48,0,0,0,0,0,115,124
AAEL005336-RA-E4,215,43,387,0.111,-3.2,6.6,1.1375446797048e-47,0,0,0,46,40,397,377
AAEL000859-RA-E1,142,17,267,0.064,-4,6,2.41063518048259e-47,0,0,0,21,13,290,244
AAEL019828-RA-E3,113.5,216,11,19.127,4.3,5.7,2.55703713674805e-47,0,0,0,225,207,10,12
AAEL000294-RA-E2,99,190.5,7.5,23.876,4.6,5.6,1.63016235226532e-46,0,0,0,201,180,7,8
AAEL011130-RA-E1,73,144.5,1.5,94.016,6.6,5.1,3.8843576532178e-46,0,0,0,156,133,1,2
AAEL000311-RC-E5,95.5,183.5,7.5,22.984,4.5,5.5,6.65325949723286e-46,0,0,0,179,188,9,6
AAEL009843-RA-E1,193.5,36.5,350.5,0.105,-3.3,6.4,6.94451847653735e-46,0,0,0,39,34,332,369
AAEL006834-RA-E4,119.2,231,7.5,32.081,5,5.8,7.13122210628969e-46,0,0,0,194,268,7,8
AAEL006834-RA-E5,106,202.5,9.5,20.847,4.4,5.6,9.08624859751212e-46,0,0,0,217,188,10,9
AAEL013484-RA-E4,316.8,555,78.5,7.066,2.8,7.2,1.01717607866276e-45,0,0,0,568,542,79,78
AAEL027311-RA-E2,70.5,138.5,2.5,59.708,5.9,5.1,1.49201651885542e-45,0,0,0,140,137,4,1
AAEL010032-RA-E3,709.8,221,1198.5,0.184,-2.4,8.3,4.12956700356207e-45,0,0,0,229,213,1196,1201
AAEL007653-RA-E3,101,192.5,9.5,19.507,4.3,5.6,6.73785144944796e-45,0,0,0,199,186,11,8
AAEL003606-RA-E3,1054,234.5,1873.5,0.125,-3,8.9,7.36323281026113e-45,0,0,0,213,256,2099,1648
AAEL000080-RA-E3,222.8,44.5,401,0.112,-3.2,6.6,9.53695525701278e-45,0,0,0,43,46,432,370
AAEL001863-RA-E2,433.2,744.5,122,6.102,2.6,7.6,1.69010977008995e-44,0,0,0,735,754,118,126
